Cm,Ch,Bm,Bh,T,sR,sG,sB,L,A,B
0.002,0.001,0.001,0.001,0.001,258.896,231.778,210.89,93.57575749685643,6.0341864219926595,13.529735234160745
0.002,0.001,0.001,0.001,0.16583333333333333,259.247,231.337,208.96,93.45605407969944,6.105552509829748,14.362259728492432
0.002,0.001,0.001,0.001,0.33066666666666666,258.963,230.866,210.54,93.35165558632579,6.473664670070267,13.394976113693424
0.002,0.001,0.001,0.001,0.4955,259.251,229.863,208.47,93.08717932528079,6.789720884664508,14.096735091549206
0.002,0.001,0.001,0.001,0.6603333333333333,259.925,229.755,209.99,93.15099284829739,7.307484193478042,13.406866962569342
0.002,0.001,0.001,0.001,0.8251666666666667,259.977,229.598,208.86,93.09293397744156,7.2427196040610875,13.911291000823645
0.002,0.001,0.001,0.001,0.99,259.798,229.692,209.58,93.11596704204689,7.234872840378048,13.56726251326461
0.002,0.001,0.001,0.16583333333333333,0.001,258.896,231.778,210.89,93.57575749685643,6.0341864219926595,13.529735234160745
0.002,0.001,0.001,0.16583333333333333,0.16583333333333333,259.247,231.337,208.96,93.45605407969944,6.105552509829748,14.362259728492432
0.002,0.001,0.001,0.16583333333333333,0.33066666666666666,258.963,230.866,210.54,93.35165558632579,6.473664670070267,13.394976113693424
0.002,0.001,0.001,0.16583333333333333,0.4955,259.251,229.863,208.47,93.08717932528079,6.789720884664508,14.096735091549206
0.002,0.001,0.001,0.16583333333333333,0.6603333333333333,259.925,229.755,209.99,93.15099284829739,7.307484193478042,13.406866962569342
0.002,0.001,0.001,0.16583333333333333,0.8251666666666667,259.977,229.598,208.86,93.09293397744156,7.2427196040610875,13.911291000823645
0.002,0.001,0.001,0.16583333333333333,0.99,259.798,229.692,209.58,93.11596704204689,7.234872840378048,13.56726251326461
0.002,0.001,0.001,0.33066666666666666,0.001,258.896,231.778,210.89,93.57575749685643,6.0341864219926595,13.529735234160745
0.002,0.001,0.001,0.33066666666666666,0.16583333333333333,259.247,231.337,208.96,93.45605407969944,6.105552509829748,14.362259728492432
0.002,0.001,0.001,0.33066666666666666,0.33066666666666666,258.963,230.866,210.54,93.35165558632579,6.473664670070267,13.394976113693424
0.002,0.001,0.001,0.33066666666666666,0.4955,259.251,229.863,208.47,93.08717932528079,6.789720884664508,14.096735091549206
0.002,0.001,0.001,0.33066666666666666,0.6603333333333333,259.925,229.755,209.99,93.15099284829739,7.307484193478042,13.406866962569342
0.002,0.001,0.001,0.33066666666666666,0.8251666666666667,259.977,229.598,208.86,93.09293397744156,7.2427196040610875,13.911291000823645
0.002,0.001,0.001,0.33066666666666666,0.99,259.798,229.692,209.58,93.11596704204689,7.234872840378048,13.56726251326461
0.002,0.001,0.001,0.4955,0.001,258.896,231.778,210.89,93.57575749685643,6.0341864219926595,13.529735234160745
0.002,0.001,0.001,0.4955,0.16583333333333333,259.247,231.337,208.96,93.45605407969944,6.105552509829748,14.362259728492432
0.002,0.001,0.001,0.4955,0.33066666666666666,258.963,230.866,210.54,93.35165558632579,6.473664670070267,13.394976113693424
0.002,0.001,0.001,0.4955,0.4955,259.251,229.863,208.47,93.08717932528079,6.789720884664508,14.096735091549206
0.002,0.001,0.001,0.4955,0.6603333333333333,259.925,229.755,209.99,93.15099284829739,7.307484193478042,13.406866962569342
0.002,0.001,0.001,0.4955,0.8251666666666667,259.977,229.598,208.86,93.09293397744156,7.2427196040610875,13.911291000823645
0.002,0.001,0.001,0.4955,0.99,259.798,229.692,209.58,93.11596704204689,7.234872840378048,13.56726251326461
0.002,0.001,0.001,0.6603333333333333,0.001,258.896,231.778,210.89,93.57575749685643,6.0341864219926595,13.529735234160745
0.002,0.001,0.001,0.6603333333333333,0.16583333333333333,259.247,231.337,208.96,93.45605407969944,6.105552509829748,14.362259728492432
0.002,0.001,0.001,0.6603333333333333,0.33066666666666666,258.963,230.866,210.54,93.35165558632579,6.473664670070267,13.394976113693424
0.002,0.001,0.001,0.6603333333333333,0.4955,259.251,229.863,208.47,93.08717932528079,6.789720884664508,14.096735091549206
0.002,0.001,0.001,0.6603333333333333,0.6603333333333333,259.925,229.755,209.99,93.15099284829739,7.307484193478042,13.406866962569342
0.002,0.001,0.001,0.6603333333333333,0.8251666666666667,259.977,229.598,208.86,93.09293397744156,7.2427196040610875,13.911291000823645
0.002,0.001,0.001,0.6603333333333333,0.99,259.798,229.692,209.58,93.11596704204689,7.234872840378048,13.56726251326461
