Cm,Ch,Bm,Bh,T,sR,sG,sB,L,A,B
0.002,0.003,0.01,0.6,0.115,249,210,185,87.0980855127019,9.942349344106594,17.645567393547413
0.002,0.003,0.01,0.6,0.12,249,211,184,87.16287190543855,9.6297520136841,18.17359408239152
0.002,0.003,0.01,0.6,0.125,249,211,184,87.28933562679428,9.617318420633014,18.175330423324443
0.002,0.003,0.01,0.6,0.13,250,211,187,87.44198306276829,10.306794459544133,16.76919236746903
0.002,0.003,0.01,0.6,0.135,251,211,189,87.50011260461439,10.703012752659834,16.120741325951784
0.002,0.003,0.01,0.65,0.115,249,211,184,87.24843637980062,9.288748323786066,18.478273711889347
0.002,0.003,0.01,0.65,0.12,250,211,185,87.3164436308575,10.011730536578224,17.71952928396885
0.002,0.003,0.01,0.65,0.125,250,211,185,87.36819925398308,9.96798533156179,18.15576965187362
0.002,0.003,0.01,0.65,0.13,251,211,186,87.47517105398035,10.124135117413669,17.542186213802236
0.002,0.003,0.01,0.65,0.135,250,211,188,87.36432369501186,10.724664007376761,16.2394083418288
0.002,0.003,0.01,0.75,0.115,249,211,182,87.13711977831655,9.331579773380728,19.356418906574934
0.002,0.003,0.01,0.75,0.12,250,211,182,87.2274823993505,9.301317218664174,19.51511113380664
0.002,0.003,0.01,0.75,0.125,251,211,181,87.48574909547241,9.64374672711349,20.02700257974852
0.002,0.003,0.01,0.75,0.13,251,211,183,87.49243843344274,9.997111988041318,19.04026124236964
0.002,0.003,0.01,0.75,0.135,251,211,185,87.54436046303658,10.369418829235144,18.050056812479177
0.002,0.003,0.01,0.8,0.115,249,211,186,87.42244737424765,9.468071365143327,17.737741244062843
0.002,0.003,0.01,0.8,0.12,250,212,187,87.51444112881708,9.584386095325193,17.276605078064676
0.002,0.003,0.01,0.8,0.125,251,212,185,87.66512311834697,9.656547693232264,18.442952099123367
0.002,0.003,0.01,0.8,0.13,251,212,186,87.68353141078762,9.968774126228485,17.671115115687552
0.002,0.003,0.01,0.8,0.135,251,212,187,87.71842565337012,10.04299848461171,17.301647565702936
0.002,0.003,0.01,0.85,0.115,249,212,184,87.51208436104267,9.105225359998082,18.399442058621517
0.002,0.003,0.01,0.85,0.12,250,212,183,87.60012883798767,8.860746651809082,19.047982853484747
0.002,0.003,0.01,0.85,0.125,250,212,186,87.63256608577547,9.731600203053803,17.78530627904429
0.002,0.003,0.01,0.85,0.13,251,212,187,87.65802897640553,10.041781609053945,17.19247706105356
0.002,0.003,0.01,0.85,0.135,251,212,186,87.7825039162415,9.694072717129465,17.93346702099836
0.002,0.02,0.01,0.6,0.115,236,166,154,74.77420446554277,24.288558218966582,16.77148512909079
0.002,0.02,0.01,0.6,0.12,234,165,153,74.2233237421724,23.941651787610986,16.54032801338805
0.002,0.02,0.01,0.6,0.125,235,166,154,74.61154317709946,23.535811261352013,16.661919199012786
0.002,0.02,0.01,0.6,0.13,233,170,159,75.34452733065373,22.00718632699139,14.666289077264594
0.002,0.02,0.01,0.6,0.135,232,172,153,75.48045004872955,19.525365684976148,17.966357575242895
0.002,0.02,0.01,0.65,0.115,232,167,153,74.42340734217775,22.221513887726584,16.78471414498013
0.002,0.02,0.01,0.65,0.12,232,165,153,73.87892079523967,23.25159827897322,16.211360723268896
