Cm,Ch,Bm,Bh,T,sR,sG,sB,L,A,B
0.002,0.003,0.01,0.6,0.13,250,211,187,87.24012445380107,10.130115187589217,16.960649388334126
0.002,0.003,0.01,0.6,0.19,252,211,186,87.40035259444451,10.734827340124099,17.737305780664435
0.002,0.003,0.01,0.6,0.25,253,212,189,87.7952390446869,10.991212286411256,16.727721164417318
0.002,0.003,0.01,0.7,0.01,248,208,181,86.20669887849787,10.138451811028792,18.64564427971429
0.002,0.003,0.01,0.7,0.07,248,210,181,86.69318741331743,9.098090940528769,19.32325875717611
0.002,0.003,0.01,0.7,0.13,249,211,185,87.1084879742136,9.487814815618778,17.814395199846444
0.002,0.003,0.01,0.7,0.19,252,211,193,87.54860786108058,11.695103742787872,14.263581301675732
0.002,0.003,0.01,0.7,0.25,253,215,193,88.6050724799089,9.984929050523728,15.765907069422092
0.002,0.003,0.01,0.8,0.01,248,210,178,86.63303839518763,8.702076539171543,20.814597442048367
0.002,0.003,0.01,0.8,0.07,249,211,183,87.06741794250297,9.218234631143574,18.807686427249838
0.002,0.003,0.01,0.8,0.13,251,212,186,87.55206400394555,9.845067593663437,17.936033047051716
0.002,0.003,0.01,0.8,0.19,252,212,191,87.74705632624806,10.897277155306806,15.59574646875248
0.002,0.003,0.01,0.8,0.25,253,213,193,88.12147821875433,11.022318328465952,15.084792410367708
0.002,0.017,0.01,0.6,0.01,231,163,135,72.8460442367373,21.80853047507486,24.598177538941755
0.002,0.017,0.01,0.6,0.07,231,167,149,74.05784202419505,21.27503249515611,18.64217863368969
0.002,0.017,0.01,0.6,0.13,232,175,159,76.26317108791551,18.63011188921093,16.28906662837679
0.002,0.017,0.01,0.6,0.19,235,179,161,77.56288260707846,17.896167953087737,17.066342704588887
0.002,0.017,0.01,0.6,0.25,235,184,174,79.03930515052616,16.96583808021096,12.12599893935753
0.002,0.017,0.01,0.7,0.01,231,165,136,73.33386244152652,20.849667138584106,24.714686316829628
0.002,0.017,0.01,0.7,0.07,231,169,151,74.57000608752166,20.449449503873616,18.26250226791768
0.002,0.017,0.01,0.7,0.13,232,177,160,76.76116739735802,17.69237054309214,16.442828188564395
0.002,0.017,0.01,0.7,0.19,233,181,160,77.82004346430064,15.943919013756858,17.933295712657937
0.002,0.017,0.01,0.7,0.25,235,186,174,79.51890225541796,15.90400453653812,12.804692677682805
0.002,0.017,0.01,0.8,0.01,233,168,132,74.18501733961389,19.607996145996676,28.0497808551883
0.002,0.017,0.01,0.8,0.07,233,171,147,75.17284531935327,19.673316408640506,21.297271619688797
0.002,0.017,0.01,0.8,0.13,237,178,157,77.44627553164455,18.688195105774575,19.093391491337396
0.002,0.017,0.01,0.8,0.19,235,181,160,78.01971026259288,16.706287898828442,18.241177791487615
0.002,0.017,0.01,0.8,0.25,233,185,169,78.97416794915105,15.002641907206959,14.70039996653374
0.002,0.059,0.01,0.6,0.01,201,106,105,55.830838655369405,37.459513024179714,17.71185115172569
0.002,0.059,0.01,0.6,0.07,207,125,124,61.12114816757311,31.68459645241295,14.19189474092921
0.002,0.059,0.01,0.6,0.13,211,139,138,65.07944042971695,27.335063046769914,11.86959795285285
0.002,0.059,0.01,0.6,0.19,213,148,148,67.6224190133916,24.507303270030313,9.886171114949626
0.002,0.059,0.01,0.6,0.25,213,148,155,67.79204831952782,25.45820371097446,6.212742490762668
0.002,0.059,0.01,0.7,0.01,202,111,104,57.000938005185816,35.12057730148427,19.902941060021774
0.002,0.059,0.01,0.7,0.07,210,128,124,62.16313766218583,31.22159760722448,15.697321733215365
0.002,0.059,0.01,0.7,0.13,209,133,136,63.43070734215064,29.56868139082203,10.639650326838336
0.002,0.059,0.01,0.7,0.19,211,148,146,67.3536751762362,23.483170801554486,10.592307930934975
0.002,0.059,0.01,0.7,0.25,214,149,159,68.23559614610289,25.849723715375138,4.628035492322224
0.002,0.059,0.01,0.8,0.01,206,112,106,57.79844834968142,36.31186288628568,19.92253041297365
0.002,0.059,0.01,0.8,0.07,213,124,120,61.58167531823071,34.060165979740376,17.22854949947856
0.002,0.059,0.01,0.8,0.13,217,138,139,65.58566404468505,30.269805233494264,12.121278133159642
0.002,0.059,0.01,0.8,0.19,216,149,148,68.1898750348469,25.101682351102106,10.737541285019269
0.002,0.059,0.01,0.8,0.25,218,149,156,68.60525433755203,26.91768231702779,6.893860071732538
0.002,0.15,0.01,0.6,0.01,167,75,90,44.211545875284564,39.33008300114865,9.819198050677658
0.002,0.15,0.01,0.6,0.07,177,118,115,55.62491642903353,22.787213933171234,11.138119136309687
0.002,0.15,0.01,0.6,0.13,182,109,132,54.60286302745742,31.991105116342954,-0.1766146122803347
0.002,0.15,0.01,0.6,0.19,196,135,137,62.39637000584399,23.658554896540174,8.392746969822085
0.002,0.15,0.01,0.6,0.25,190,144,150,64.237073901638,18.285298753638823,3.5821757604492577
0.002,0.15,0.01,0.7,0.01,179,74,89,45.90924537198503,44.012346266992076,13.082732371759342
0.002,0.15,0.01,0.7,0.07,188,113,109,55.6896897613517,29.155168640810412,14.916531488756469
0.002,0.15,0.01,0.7,0.13,187,114,132,56.35134527282466,31.107610924532516,2.4452096438390525
0.002,0.15,0.01,0.7,0.19,195,134,141,62.1463051630292,24.381339104434186,5.7435572492817055
0.002,0.15,0.01,0.7,0.25,194,140,155,63.827997485840456,22.7694213372,0.21197988254906264
0.002,0.15,0.01,0.8,0.01,185,69,89,46.03016147891771,48.38789617189093,13.404586325100853
0.002,0.15,0.01,0.8,0.07,191,115,113,56.61346605148245,29.685235887267737,13.936883462371362
0.002,0.15,0.01,0.8,0.13,194,113,132,57.02111955984748,34.235645692192726,3.52682253745773
0.002,0.15,0.01,0.8,0.19,198,135,142,62.74767509911344,25.107171800340222,6.08260501816289
0.002,0.15,0.01,0.8,0.25,201,144,157,65.59010073402999,23.466657713335504,1.7409425667190837
0.002,0.32,0.01,0.6,0.01,138,64,70,36.95150675964238,32.12021891770461,11.47058317669809
0.002,0.32,0.01,0.6,0.07,159,101,116,49.42129376193385,25.488093322304618,1.3868176691438805
0.002,0.32,0.01,0.6,0.13,161,106,129,51.231697129489376,25.418577944901767,-3.6612072735640933
0.002,0.32,0.01,0.6,0.19,168,123,137,56.382723069185104,19.689419382531327,-0.687787085070779
0.002,0.32,0.01,0.6,0.25,179,140,147,62.03635768832362,15.887074988775563,1.9510481945000047
0.002,0.32,0.01,0.7,0.01,146,64,69,38.21124944747162,35.091773000306524,14.031316369382363
0.002,0.32,0.01,0.7,0.07,155,110,121,51.2671174921518,19.561093128834305,1.0428298788146995
0.002,0.32,0.01,0.7,0.13,162,108,128,51.79658330816311,24.497320362564135,-2.223949674335257
0.002,0.32,0.01,0.7,0.19,176,119,140,56.402875502441844,25.42960172208136,-2.2949216969705866
0.002,0.32,0.01,0.7,0.25,181,143,149,63.041866602525985,15.28775406352495,2.3008882681233356
0.002,0.32,0.01,0.8,0.01,150,66,70,39.27917283048724,35.666682898726265,14.96308040399943
0.002,0.32,0.01,0.8,0.07,165,107,115,51.55517350816197,24.26612422844876,5.157569214298463
0.002,0.32,0.01,0.8,0.13,168,103,128,51.362322498713226,29.552758182421258,-2.7784361574262118
0.002,0.32,0.01,0.8,0.19,182,119,140,57.10561877852828,27.655541162950936,-1.1815646423408044
0.002,0.32,0.01,0.8,0.25,185,139,147,62.410171074043774,18.712654585827938,2.5707188710248463
0.013,0.003,0.01,0.6,0.01,245,201,169,83.99042518125023,11.104285707392137,21.855266963016362
0.013,0.003,0.01,0.6,0.07,246,199,167,83.56154224218668,12.279626925595256,22.33545645286721
0.013,0.003,0.01,0.6,0.13,242,197,167,82.6985933077774,11.808245786890826,21.086701530238106
0.013,0.003,0.01,0.6,0.19,241,193,163,81.55596483192978,13.026779120438869,21.618489689854826
0.013,0.003,0.01,0.6,0.25,241,191,159,80.99543311502896,13.587657720522895,22.973412661001902
0.013,0.003,0.01,0.7,0.01,246,201,169,84.08418651457339,11.483425472714137,21.99923570064941
0.013,0.003,0.01,0.7,0.07,245,199,167,83.46679252546721,11.89955579249652,22.19007802213573
0.013,0.003,0.01,0.7,0.13,242,197,164,82.63997451851516,11.43123710360805,22.5940692189768
0.013,0.003,0.01,0.7,0.19,240,195,160,81.8874861530176,11.221935271975514,23.648397576753567
0.013,0.003,0.01,0.7,0.25,241,191,159,80.99543311502896,13.587657720522895,22.973412661001902
0.013,0.003,0.01,0.8,0.01,246,201,169,84.08418651457339,11.483425472714137,21.99923570064941
0.013,0.003,0.01,0.8,0.07,244,198,168,83.14977582797232,12.169454056176809,21.20955157079425
0.013,0.003,0.01,0.8,0.13,242,197,164,82.63997451851516,11.43123710360805,22.5940692189768
0.013,0.003,0.01,0.8,0.19,241,195,160,81.98268745151104,11.605587649688498,23.794014961717423
